name,teudat_zehut,specialty,year,gender,clinic_address,phone,license_number,license_date,specialty_registration_date,clalit,maccabi,meuhedet,leumit,source_url,source_name,scrape_date
פרופיל דוגמה,,רפואה אסתטית,,,,,,,,1,1,0,0,https://www.medreviews.co.il/provider/test-profile,MedReviews,2026-03-29T18:53:42.310044
"ד""ר איל ברבלק",,אורתופדיית עמוד שדרה,,,,,,,,0,1,1,1,https://www.medreviews.co.il/provider/dr-behrbalk-eyal,MedReviews,2026-03-29T18:53:42.310090
"ד""ר גיל לאופר",,אורטופד,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-laufer-gil,MedReviews,2026-03-29T18:53:42.310100
"ד""ר אמיר אורון",,כירורגיה של היד,,,,,,,,1,0,0,1,https://www.medreviews.co.il/provider/dr-oron-amir,MedReviews,2026-03-29T18:53:42.310119
"ד""ר ירון ברין",,כירורגיה אורתופדית,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-brin-yaron,MedReviews,2026-03-29T18:53:42.310136
"ד""ר אופיר אורי",,כירורגיה אורתופדית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-uri-ofir,MedReviews,2026-03-29T18:53:42.310147
"ד""ר גבריאל גוטמן",,אורתופד,,,,,,,,0,0,1,0,https://www.medreviews.co.il/provider/dr-gutman-gabriel,MedReviews,2026-03-29T18:53:42.310156
"ד""ר אסנת גרינשטיין-קורן",,רפואת הפה,,,,,,,,0,1,0,0,https://www.medreviews.co.il/provider/dr-koren-osnat,MedReviews,2026-03-29T18:53:42.310163
"ד""ר ירון סלע",,"כירורגיה אורתופדית, כירורגית כף יד",,,,,,,,0,1,0,1,https://www.medreviews.co.il/provider/dr-sela-yaron,MedReviews,2026-03-29T18:53:42.310177
"ד""ר אורי חדש",,כירורגיה אורתופדית,,,,,,,,0,1,1,1,https://www.medreviews.co.il/provider/dr-hadash-ori,MedReviews,2026-03-29T18:53:42.310198
